player_id,player_name,first_name,last_name,salary
133,Seth Curry,Seth,Curry,2795000
134,Troy Daniels,Troy,Daniels,3258539
135,Anthony Davis,Anthony,Davis,25434263
136,Ed Davis,Ed,Davis,4449000
137,Deyonta Davis,Deyonta,Davis,1741503
138,Tyler Davis,Tyler,Davis,77250
139,Dewayne Dedmon,Dewayne,Dedmon,6300000
140,Sam Dekker,Sam,Dekker,2760094
141,Angel Delgado,Angel,Delgado,77250
142,Matthew Dellavedova,Matthew,Dellavedova,9607500
143,Cody Demps,Cody,Demps,47370
144,Luol Deng,Luol,Deng,16747954
145,DeMar DeRozan,DeMar,DeRozan,27739975
146,Marcus Derrickson,Marcus,Derrickson,77250
147,Cheick Diallo,Cheick,Diallo,1544951
148,Hamidou Diallo,Hamidou,Diallo,838464
149,Gorgui Dieng,Gorgui,Dieng,15170787
150,Spencer Dinwiddie,Spencer,Dinwiddie,1656092
151,Donte DiVincenzo,Donte,DiVincenzo,2484360
152,Luka Doncic,Luka,Doncic,6569040
153,Tyler Dorsey,Tyler,Dorsey,1378242
154,Damyean Dotson,Damyean,Dotson,1378242
155,PJ Dozier,PJ,Dozier,77250
156,Goran Dragic,Goran,Dragic,18109175
157,Andre Drummond,Andre,Drummond,25434262
158,Jared Dudley,Jared,Dudley,9530000
159,Kris Dunn,Kris,Dunn,4221000
160,Kevin Durant,Kevin,Durant,30000000
161,Trevon Duval,Trevon,Duval,77250
162,Vincent Edwards,Vincent,Edwards,77250
163,Henry Ellenson,Henry,Ellenson,2199311
164,Wayne Ellington,Wayne,Ellington,8653076
165,Monta Ellis,Monta,Ellis,2245400
166,Joel Embiid,Joel,Embiid,25467250
167,James Ennis,James,Ennis,1621415
168,Drew Eubanks,Drew,Eubanks,77250
169,Tyreke Evans,Tyreke,Evans,12400000
170,Jacob Evans,Jacob,Evans,1646400
171,Jawun Evans,Jawun,Evans,1455492
172,Keenan Evans,Keenan,Evans,77250
173,Dante Exum,Dante,Exum,10600000
174,Kenneth Faried,Kenneth,Faried,14242782
175,Derrick Favors,Derrick,Favors,16900000
176,Cristiano Felicio,Cristiano,Felicio,8470980
177,Raymond Felton,Raymond,Felton,2393887
178,Terrance Ferguson,Terrance,Ferguson,2118840
179,Yogi Ferrell,Yogi,Ferrell,3000000
180,Dorian Finney-Smith,Dorian,Finney-Smith,1544951
181,Bryn Forbes,Bryn,Forbes,3125000
182,Evan Fournier,Evan,Fournier,17000000
183,De'Aaron Fox,De'Aaron,Fox,5470920
184,Tim Frazier,Tim,Frazier,1832107
185,Melvin Frazier,Melvin,Frazier,1050000
186,Michael Frazier,Michael,Frazier,47370
187,Jimmer Fredette,Jimmer,Fredette,198579
188,Channing Frye,Channing,Frye,2393887
189,Markelle Fultz,Markelle,Fultz,8339880
190,Wenyen Gabriel,Wenyen,Gabriel,75000
191,Danilo Gallinari,Danilo,Gallinari,21587579
192,Langston Galloway,Langston,Galloway,7000000
193,Billy Garrett,Billy,Garrett,67370
194,Marc Gasol,Marc,Gasol,24119025
195,Pau Gasol,Pau,Gasol,17133285
196,Rudy Gay,Rudy,Gay,10087200
197,Paul George,Paul,George,30560700
198,Taj Gibson,Taj,Gibson,14000000
199,Jonathan Gibson,Jonathan,Gibson,76236
200,Harry Giles,Harry,Giles,2207040
201,Shai Gilgeous-Alexander,Shai,Gilgeous-Alexander,3375360
202,Manu Ginobili,Manu,Ginobili,2500000
203,Rudy Gobert,Rudy,Gobert,23491573
204,Archie Goodwin,Archie,Goodwin,77250
205,Brandon Goodwin,Brandon,Goodwin,56845
206,Aaron Gordon,Aaron,Gordon,21590909
207,Eric Gordon,Eric,Gordon,13500375
208,Marcin Gortat,Marcin,Gortat,13565218
209,Treveon Graham,Treveon,Graham,1512601
210,Devonte Graham,Devonte,Graham,988464
211,Jerami Grant,Jerami,Grant,8333333
212,Jerian Grant,Jerian,Grant,2639313
213,Donte Grantham,Donte,Grantham,77250
214,Draymond Green,Draymond,Green,17469565
215,Danny Green,Danny,Green,10000000
216,JaMychal Green,JaMychal,Green,8066667
217,Jeff Green,Jeff,Green,2393887
218,Gerald Green,Gerald,Green,1512601
219,Blake Griffin,Blake,Griffin,31873932
220,Daniel Hamilton,Daniel,Hamilton,1349383
221,Justin Hamilton,Justin,Hamilton,1000000
222,Dusty Hannahs,Dusty,Hannahs,47370
223,Tim Hardaway,Tim,Hardaway,17325000
224,James Harden,James,Harden,30570000
225,Moe Harkless,Moe,Harkless,10837079
226,Montrezl Harrell,Montrezl,Harrell,6000000
227,Gary Harris,Gary,Harris,16517857
228,Tobias Harris,Tobias,Harris,14800000
229,Joe Harris,Joe,Harris,8333333
230,Devin Harris,Devin,Harris,2393887
231,Shaquille Harrison,Shaquille,Harrison,1325531
232,Andrew Harrison,Andrew,Harrison,354500
233,Josh Hart,Josh,Hart,1655160
234,Isaiah Hartenstein,Isaiah,Hartenstein,838464
235,Udonis Haslem,Udonis,Haslem,2393887
236,Spencer Hawes,Spencer,Hawes,2007058
237,Gordon Hayward,Gordon,Hayward,31214295
238,John Henson,John,Henson,10577466
239,Juan Hernangomez,Juan,Hernangomez,2166360
240,Willy Hernangomez,Willy,Hernangomez,1496500
241,Mario Hezonja,Mario,Hezonja,6500000
242,Isaiah Hicks,Isaiah,Hicks,77250
243,Stephan Hicks,Stephan,Hicks,47370
244,Buddy Hield,Buddy,Hield,3833760
245,Haywood Highsmith,Haywood,Highsmith,77250
246,George Hill,George,Hill,19000000
247,Solomon Hill,Solomon,Hill,12763467
248,Jrue Holiday,Jrue,Holiday,26641111
249,Justin Holiday,Justin,Holiday,4500000
250,Aaron Holiday,Aaron,Holiday,1914480
251,John Holland,John,Holland,77250
252,Rondae Hollis-Jefferson,Rondae,Hollis-Jefferson,2470356
253,Richaun Holmes,Richaun,Holmes,1600520
254,Rodney Hood,Rodney,Hood,3472887
255,Scotty Hopson,Scotty,Hopson,76236
256,Al Horford,Al,Horford,28928710
257,Danuel House,Danuel,House,247827
258,Dwight Howard,Dwight,Howard,24256725
259,Kevin Huerter,Kevin,Huerter,2250960
260,Isaac Humphries,Isaac,Humphries,47370
261,RJ Hunter,RJ,Hunter,77250
262,Chandler Hutchison,Chandler,Hutchison,1991520
263,Serge Ibaka,Serge,Ibaka,21666667
264,Andre Iguodala,Andre,Iguodala,16000000
265,Ersan Ilyasova,Ersan,Ilyasova,7000000
266,Joe Ingles,Joe,Ingles,12545455
267,Brandon Ingram,Brandon,Ingram,5757120
268,Andre Ingram,Andre,Ingram,76236
269,Kyrie Irving,Kyrie,Irving,20099189
270,Jonathan Isaac,Jonathan,Isaac,4969080
271,Wesley Iwundu,Wesley,Iwundu,1378242
272,Reggie Jackson,Reggie,Jackson,17043478
273,Josh Jackson,Josh,Jackson,6041520
274,Jaren Jackson,Jaren,Jackson,5922720
275,Justin Jackson,Justin,Jackson,2807880
276,Frank Jackson,Frank,Jackson,1378242
277,Demetrius Jackson,Demetrius,Jackson,170107
278,LeBron James,LeBron,James,35654150
279,Al Jefferson,Al,Jefferson,4000000
280,Amile Jefferson,Amile,Jefferson,77250
281,John Jenkins,John,Jenkins,585809
282,Jonas Jerebko,Jonas,Jerebko,2165481
283,Tyler Johnson,Tyler,Johnson,19245370
284,James Johnson,James,Johnson,14420700
285,Wesley Johnson,Wesley,Johnson,6134000
286,Stanley Johnson,Stanley,Johnson,3940401
287,Amir Johnson,Amir,Johnson,2393887
288,Dakari Johnson,Dakari,Johnson,1378242
289,Alize Johnson,Alize,Johnson,838464
290,BJ Johnson,BJ,Johnson,142111
291,Nikola Jokic,Nikola,Jokic,25467250
292,Tyus Jones,Tyus,Jones,2444052
293,Damian Jones,Damian,Jones,1544951
294,Derrick Jones,Derrick,Jones,1512601
295,Terrence Jones,Terrence,Jones,198579
296,Jalen Jones,Jalen,Jones,77250
297,Jemerrio Jones,Jemerrio,Jones,52170
298,DeAndre Jordan,DeAndre,Jordan,22897200
299,Cory Joseph,Cory,Joseph,7945000
300,Jose Juan,Jose,Juan,3710850
301,Frank Kaminsky,Frank,Kaminsky,3627842
302,Enes Kanter,Enes,Kanter,19264603
303,Luke Kennard,Luke,Kennard,3275280
304,Michael Kidd-Gilchrist,Michael,Kidd-Gilchrist,13000000
305,George King,George,King,77250
306,Maxi Kleber,Maxi,Kleber,1378242
